data,ultima_atualizacao,microrregiao,mesorregiao,confirmadosAcumulados,mortesAcumuladas
2020-05-31,False,PATOS,SERTAO PARAIBANO,606,22
2020-05-31,False,PIANCO,SERTAO PARAIBANO,57,2
2020-05-31,False,SAPE,MATA PARAIBANA,589,20
2020-05-31,False,SERIDO OCIDENTAL PARAIBANO,BORBOREMA,136,3
2020-05-31,False,SERIDO ORIENTAL PARAIBANO,BORBOREMA,89,0
2020-05-31,False,SERRA DO TEIXEIRA,SERTAO PARAIBANO,69,0
2020-05-31,False,SOUSA,SERTAO PARAIBANO,350,2
2020-05-31,False,UMBUZEIRO,AGRESTE PARAIBANO,72,2
2020-05-30,False,BREJO PARAIBANO,AGRESTE PARAIBANO,220,5
2020-05-30,False,CAJAZEIRAS,SERTAO PARAIBANO,114,8
2020-05-30,False,CAMPINA GRANDE,AGRESTE PARAIBANO,1775,17
2020-05-30,False,CARIRI OCIDENTAL,BORBOREMA,115,2
2020-05-30,False,CARIRI ORIENTAL,BORBOREMA,61,3
2020-05-30,False,CATOLE DO ROCHA,SERTAO PARAIBANO,7,7
2020-05-30,False,CURIMATAU OCIDENTAL,AGRESTE PARAIBANO,89,1
2020-05-30,False,CURIMATAU ORIENTAL,AGRESTE PARAIBANO,113,1
2020-05-30,False,ESPERANCA,AGRESTE PARAIBANO,74,2
2020-05-30,False,GUARABIRA,AGRESTE PARAIBANO,932,5
2020-05-30,False,ITABAIANA,AGRESTE PARAIBANO,461,4
2020-05-30,False,ITAPORANGA,SERTAO PARAIBANO,22,1
2020-05-30,False,JOAO PESSOA,MATA PARAIBANA,5655,211
2020-05-30,False,LITORAL NORTE,MATA PARAIBANA,366,6
2020-05-30,False,LITORAL SUL,MATA PARAIBANA,784,15
2020-05-30,False,PATOS,SERTAO PARAIBANO,594,22
2020-05-30,False,PIANCO,SERTAO PARAIBANO,50,2
2020-05-30,False,SAPE,MATA PARAIBANA,568,18
2020-05-30,False,SERIDO OCIDENTAL PARAIBANO,BORBOREMA,131,3
2020-05-30,False,SERIDO ORIENTAL PARAIBANO,BORBOREMA,88,0
2020-05-30,False,SERRA DO TEIXEIRA,SERTAO PARAIBANO,66,0
2020-05-30,False,SOUSA,SERTAO PARAIBANO,340,2
2020-05-30,False,UMBUZEIRO,AGRESTE PARAIBANO,72,2
2020-05-29,False,BREJO PARAIBANO,AGRESTE PARAIBANO,196,5
2020-05-29,False,CAJAZEIRAS,SERTAO PARAIBANO,102,8
2020-05-29,False,CAMPINA GRANDE,AGRESTE PARAIBANO,1533,17
2020-05-29,False,CARIRI OCIDENTAL,BORBOREMA,110,2
2020-05-29,False,CARIRI ORIENTAL,BORBOREMA,48,2
2020-05-29,False,CATOLE DO ROCHA,SERTAO PARAIBANO,7,7
2020-05-29,False,CURIMATAU OCIDENTAL,AGRESTE PARAIBANO,84,1
2020-05-29,False,CURIMATAU ORIENTAL,AGRESTE PARAIBANO,109,1
2020-05-29,False,ESPERANCA,AGRESTE PARAIBANO,71,2
2020-05-29,False,GUARABIRA,AGRESTE PARAIBANO,900,5
2020-05-29,False,ITABAIANA,AGRESTE PARAIBANO,417,4
2020-05-29,False,ITAPORANGA,SERTAO PARAIBANO,23,1
2020-05-29,False,JOAO PESSOA,MATA PARAIBANA,5364,194
2020-05-29,False,LITORAL NORTE,MATA PARAIBANA,335,6
2020-05-29,False,LITORAL SUL,MATA PARAIBANA,758,15
2020-05-29,False,PATOS,SERTAO PARAIBANO,565,21
2020-05-29,False,PIANCO,SERTAO PARAIBANO,49,2
2020-05-29,False,SAPE,MATA PARAIBANA,551,18
2020-05-29,False,SERIDO OCIDENTAL PARAIBANO,BORBOREMA,126,3
2020-05-29,False,SERIDO ORIENTAL PARAIBANO,BORBOREMA,75,0
2020-05-29,False,SERRA DO TEIXEIRA,SERTAO PARAIBANO,64,0
2020-05-29,False,SOUSA,SERTAO PARAIBANO,314,2
2020-05-29,False,UMBUZEIRO,AGRESTE PARAIBANO,70,2
2020-05-28,False,BREJO PARAIBANO,AGRESTE PARAIBANO,176,5
2020-05-28,False,CAJAZEIRAS,SERTAO PARAIBANO,95,8
2020-05-28,False,CAMPINA GRANDE,AGRESTE PARAIBANO,1392,17
2020-05-28,False,CARIRI OCIDENTAL,BORBOREMA,101,2
2020-05-28,False,CARIRI ORIENTAL,BORBOREMA,47,2
2020-05-28,False,CATOLE DO ROCHA,SERTAO PARAIBANO,7,7
2020-05-28,False,CURIMATAU OCIDENTAL,AGRESTE PARAIBANO,76,1
2020-05-28,False,CURIMATAU ORIENTAL,AGRESTE PARAIBANO,92,1
2020-05-28,False,ESPERANCA,AGRESTE PARAIBANO,66,2
2020-05-28,False,GUARABIRA,AGRESTE PARAIBANO,827,5
2020-05-28,False,ITABAIANA,AGRESTE PARAIBANO,372,4
2020-05-28,False,ITAPORANGA,SERTAO PARAIBANO,23,1
2020-05-28,False,JOAO PESSOA,MATA PARAIBANA,5093,194
2020-05-28,False,LITORAL NORTE,MATA PARAIBANA,297,6
2020-05-28,False,LITORAL SUL,MATA PARAIBANA,666,15
2020-05-28,False,PATOS,SERTAO PARAIBANO,514,21
2020-05-28,False,PIANCO,SERTAO PARAIBANO,44,2
2020-05-28,False,SAPE,MATA PARAIBANA,526,18
2020-05-28,False,SERIDO OCIDENTAL PARAIBANO,BORBOREMA,116,3
2020-05-28,False,SERIDO ORIENTAL PARAIBANO,BORBOREMA,66,0
2020-05-28,False,SERRA DO TEIXEIRA,SERTAO PARAIBANO,55,0
2020-05-28,False,SOUSA,SERTAO PARAIBANO,287,2
2020-05-28,False,UMBUZEIRO,AGRESTE PARAIBANO,66,2
